query_id,query_title,subject_id,subject_accession,subject_title,taxid,sci_name,identity_pct,bit_score,evalue
Query_2228399,reverse journal,gi|1314671729|gb|MG250527.1|,MG250527,"Sus scrofa isolate GDXE28 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|46095112|gb|AY487031.1|,AY487031,"Eirenis aurolineatus voucher CS 4655 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial",256114,Eirenis aurolineatus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|45826183|gb|AY574046.1|,AY574046,"Sus scrofa breed Hampshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978964|gb|MW823188.1|,MW823188,"Pedioplanis branchi voucher ZMB:89316 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",2848679,Pedioplanis branchi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2044000901|gb|MK858176.1|,MK858176,"Sus scrofa isolate Nanyang59 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|347448737|gb|JN601075.1|,JN601075,"Sus scrofa isolate 1-37-193 breed Yorkshire mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717835|gb|OL547465.1|,OL547465,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727910422|gb|PP763921.1|,PP763921,"Sus scrofa isolate AgondaGoan4 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2633559373|gb|OR817738.1|,OR817738,"Panthera pardus isolate Sab mitochondrion, complete genome",9691,Panthera pardus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2727911164|gb|PP763974.1|,PP763974,"Sus scrofa isolate Gurrah1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|669176280|gb|KJ746664.1|,KJ746664,"Sus scrofa domesticus breed Pen zhou shan di mitochondrion, complete genome",9825,Sus scrofa domesticus,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|209166198|gb|FJ236998.1|,FJ236998,"Sus scrofa breed European wild boar haplotype WB1 mitochondrion, complete genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2053978948|gb|MW823180.1|,MW823180,"Pedioplanis branchi voucher SK393.2014 NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",2848679,Pedioplanis branchi,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|2165717569|gb|OL547446.1|,OL547446,"Sus scrofa mitochondrion, partial genome",9823,Sus scrofa,100.0,42.7638,0.381129
Query_2228399,reverse journal,gi|657306208|gb|KJ452323.1|,KJ452323,"Liolaemus araucaniensis voucher SSUC Re 012 NADH dehydrogenase subunit 1 (ND1) gene, partial cds; tRNA-Ile, tRNA-Gln, and tRNA-Met genes, complete sequence; and NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial",1508652,Liolaemus araucaniensis,100.0,42.7638,0.381129
